Sentence;Degree of Truth;Degree of Support
For almost no records in depression, yms is medium;1.0;0.0
For almost no records in depression, yms is high;1.0;0.0
For almost no records in mania, context_no_day_incoming_calls is low;0.3953488372093022;0.29069767441860467
For some records in mania, context_no_day_incoming_calls is low;0.2713178294573644;0.29069767441860467
For some records in mania, context_no_day_incoming_calls is medium;1.0;0.47674418604651164
For almost no records in mania, context_no_day_incoming_calls is high;0.914262718685136;0.22093023255813954
For almost no records in mania, context_avg_day_duration_incoming is low;0.1812613287214656;0.4264705882352941
For some records in mania, context_avg_day_duration_incoming is low;0.48540533794520085;0.4264705882352941
For almost no records in mania, context_avg_day_duration_incoming is medium;0.537589402555779;0.39705882352941174
For some records in mania, context_avg_day_duration_incoming is medium;0.12907726411088763;0.39705882352941174
For almost no records in mania, context_avg_day_duration_incoming is high;0.5893803547296806;0.4117647058823529
For some records in mania, context_avg_day_duration_incoming is high;0.07728631193698597;0.4117647058823529
For some records in mania, context_stddev_duration_incoming is low;0.8167930466056152;0.5116279069767442
For almost no records in mania, context_stddev_duration_incoming is medium;0.33726772058698534;0.4883720930232558
For some records in mania, context_stddev_duration_incoming is medium;0.32939894607968123;0.4883720930232558
For almost no records in mania, context_stddev_duration_incoming is high;0.9404984948725291;0.3023255813953488
For some records in mania, context_no_day_outgoing_calls is low;0.9186046511627846;0.4186046511627907
For almost no records in mania, context_no_day_outgoing_calls is medium;0.7213521067341669;0.3372093023255814
For almost no records in mania, context_no_day_outgoing_calls is high;0.4940071447170788;0.3488372093023256
For some records in mania, context_no_day_outgoing_calls is high;0.17265952194958778;0.3488372093023256
For some records in mania, context_avg_day_duration_outgoing is low;0.7529135007722009;0.4657534246575342
For almost no records in mania, context_avg_day_duration_outgoing is medium;0.20713641816653033;0.5068493150684932
For some records in mania, context_avg_day_duration_outgoing is medium;0.4595302485001362;0.5068493150684932
For almost no records in mania, context_avg_day_duration_outgoing is high;1.0;0.3424657534246575
For almost no records in mania, context_stddev_duration_outgoing is low;0.09554605480450064;0.4576271186440678
For some records in mania, context_stddev_duration_outgoing is low;0.5711206118621658;0.4576271186440678
For almost no records in mania, context_stddev_duration_outgoing is medium;0.31065857136905173;0.5084745762711864
For some records in mania, context_stddev_duration_outgoing is medium;0.3560080952976148;0.5084745762711864
For almost no records in mania, context_stddev_duration_outgoing is high;0.7014928218527159;0.3389830508474576
For some records in mania, context_no_nottakencalls is low;1.0;0.4883720930232558
For some records in mania, context_no_nottakencalls is medium;1.0;0.45348837209302323
For almost no records in mania, context_no_nottakencalls is high;0.7054263565891473;0.2441860465116279
For some records in mania, context_no_sms is low;0.20542635658914682;0.5813953488372093
For most records in mania, context_no_sms is low;0.7945736434108532;0.5813953488372093
